word1,word2,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex)
owe,lend,2.32,2.07,3.07,1,0.14,0,0.82
explore,discover,8.48,2.9,2.37,2,0.14,0,1.33
complain,argue,4.8,2.6,2.75,2,0.14,0,0.9
withdraw,reject,6.38,3.04,2.4,2,0.14,0,1.97
keep,borrow,2.25,2.37,3.1,2,0.14,0,1.29
beg,ask,6,2.96,2.52,2,0.14,0,1.58
arrange,organize,8.27,2.79,2.72,2,0.14,0,1.1
reduce,shrink,8.02,2,3.55,2,0.14,0,1.82
speak,acknowledge,4.67,3.7,2.03,2,0.14,0,1.47
give,borrow,2.22,2.83,3.1,2,0.14,0,1.63
kill,defend,2.63,3.9,2.31,2,0.14,0,0.85
disappear,shrink,5.8,2.86,3.55,2,0.14,0,1
deliver,carry,3.88,3.12,4.04,2,0.14,0,1.44
breathe,choke,1.37,4.07,3.97,3,0.14,0,2.02
acknowledge,notify,5.3,2.03,3.04,1,0.13,0,0.62
become,seem,2.63,1.54,1.75,1,0.11,0,1.79
pretend,seem,4.68,2.11,1.75,1,0.11,0,1.63
accomplish,become,4,2.33,1.54,1,0.11,0,0.85
contemplate,think,8.82,1.71,2.41,1,0.11,0,1.59
determine,predict,5.8,2.13,2,1,0.11,0,1.37
please,entertain,5,1.64,2.55,1,0.11,0,0.71
remain,retain,5.75,1.96,2.32,1,0.11,0,1.12
pretend,portray,7.03,2.11,2.18,1,0.11,0,1.64
forget,retain,0.63,2.04,2.32,1,0.11,0,1.68
want,choose,4.78,1.93,2.62,1,0.11,0,1.56
lose,get,0.77,2.25,2.38,1,0.11,0,1.33
try,think,2.62,2.22,2.41,1,0.11,0,1.45
become,appear,4.77,1.54,3.13,1,0.11,0,1.51
leave,ignore,4.42,2.53,2.22,1,0.11,0,1.33
accept,recommend,2.75,3.03,1.74,1,0.11,0,1.01
leave,wander,3.57,2.53,2.28,1,0.11,0,1.33
keep,give,1.05,2.37,2.83,2,0.11,0,1.03
give,allow,5.15,2.83,2.41,2,0.11,0,1.32
bring,send,2.97,2.55,2.7,2,0.11,0,0.88
absorb,learn,5.48,3.11,2.2,2,0.11,0,1.16
acquire,find,6.38,2.93,2.63,2,0.11,0,1.74
leave,appear,0.97,2.53,3.13,2,0.11,0,1.45
create,destroy,0.63,2.62,3.08,2,0.11,0,1.1
begin,go,7.42,2.56,3.15,2,0.11,0,1.24
get,buy,5.08,2.38,3.35,2,0.11,0,1.02
collect,save,6.67,3.34,2.42,2,0.11,0,0.44
replace,restore,5.73,3,2.79,2,0.11,0,1.08
join,add,8.1,2.86,3,2,0.11,0,0.88
join,marry,5.35,2.86,3.03,2,0.11,0,1.41
accept,deliver,1.58,3.03,3.12,2,0.11,0,1.37
attach,join,7.75,3.33,2.86,2,0.11,0,0.94
put,hang,3,2.5,3.7,2,0.11,0,1.49
go,sell,0.97,3.15,3.35,2,0.11,0,0.9
communicate,pray,3.55,3.43,3.21,2,0.11,0,1.38
give,steal,0.5,2.83,3.84,2,0.11,0,0.62
add,build,4.92,3,3.71,2,0.11,0,1.1
bring,restore,2.62,2.55,2.79,2,0.1,0,0.74
comprehend,satisfy,2.55,1.86,2.04,1,0,0,1
portray,decide,1.18,2.18,1.92,1,0,0,1.37
organize,become,1.77,2.72,1.54,1,0,0,1.86
give,know,0.88,2.83,1.68,1,0,0,1.12
say,verify,4.9,2.58,2.1,1,0,0,0.65
cooperate,join,5.18,1.87,2.86,1,0,0,0.36
arrange,require,0.98,2.79,2.07,1,0,0,1.72
borrow,want,1.77,3.1,1.93,1,0,0,1.22
investigate,pursue,7.15,2.27,2.83,1,0,0,0.56
ignore,explore,0.4,2.22,2.9,1,0,0,1.19
bring,complain,0.98,2.55,2.6,1,0,0,1.57
enter,owe,0.68,3.12,2.07,1,0,0,1.67
portray,notify,0.78,2.18,3.04,2,0,0,1.17
remind,sell,0.4,2.19,3.35,2,0,0,1.61
absorb,possess,5,3.11,2.6,2,0,0,1.15
join,acquire,2.85,2.86,2.93,2,0,0,0.99
send,attend,1.67,2.7,3.17,2,0,0,1.44
gather,attend,4.8,2.75,3.17,2,0,0,1.97
absorb,withdraw,2.97,3.11,3.04,2,0,0,1.75
attend,arrive,6.08,3.17,3.22,2,0,0,1.18
